File	Left Context	Hit	Right Context
2020-07-24_00-49-01_UTC.txt	we now live in. \\ #maskmandate #tyrannicalgovernment #facelessamerica #gooutside #eatrealfood #femininity #	feminism #	women #beauty #tradwife #traditional #folkandfork #housewife #housewife #simplelife #traditions #
2020-07-24_17-53-25_UTC.txt	going back to my car.. #silverlining \\ #facelessamerica #gooutside #eatrealfood #femininity #	feminism #	women #beauty #tradwife #traditional #folkandfork #housewife #housewife #simplelife #traditions #
2020-07-29_15-32-00_UTC.txt	re supposed to go to Target? whoops. \\ #gooutside #eatrealfood #femininity #	feminism #	women #beauty #tradwife #traditional #folkandfork #housewife #housewife #simplelife #traditions #
2020-08-02_23-13-17_UTC.txt	today, they are good for the soul. \\ #gooutside #eatrealfood #femininity #	feminism #	women #beauty #tradwife #traditional #folkandfork #housewife #housewife #simplelife #traditions #
2020-08-09_02-07-50_UTC.txt	I love it. \\ #antiquefurniture #farmhousedresser #yardsalefinds #thrifting #gooutside #eatrealfood #femininity #	feminism #	women #beauty #tradwife #traditional #folkandfork #housewife #housewife #simplelife #traditions #
2020-08-10_19-02-14_UTC.txt	s not impossible.  \\ #marriage #anniversary #weddingdress #coffeeshopwedding #gooutside #eatrealfood #femininity #	feminism #	women #beauty #tradwife #traditional #folkandfork #housewife #housewife #simplelife #traditions #
2020-08-12_03-50-52_UTC.txt	in the woods last night.  \\ #outdoorrange #targetpractice #gooutside #eatrealfood #femininity #	feminism #	women #beauty #tradwife #traditional #folkandfork #housewife #housewife #simplelife #traditions #
2020-08-14_04-22-24_UTC.txt	them, let me know. >><< #brass #cuttingboards #kitchen #gooutside #eatrealfood #femininity #	feminism #	women #beauty #tradwife #traditional #folkandfork #housewife #housewife #simplelife #traditions #
2020-08-16_04-22-24_UTC.txt	the rest of this year, be ready! \\ #gooutside #eatrealfood #femininity #	feminism #	women #beauty #tradwife #traditional #folkandfork #housewife #housewife #simplelife #traditions #
2020-08-17_01-48-42_UTC.txt	for the perfect summer day! \\ #lakehouse #summerdays #gooutside #eatrealfood #femininity #	feminism #	women #beauty #tradwife #traditional #folkandfork #housewife #housewife #simplelife #traditions #
2020-08-20_04-21-56_UTC.txt	I took this picture 🌱  \\ #houseplants #oildiffuser #bedtimeroutine #gooutside #eatrealfood #femininity #	feminism #	women #beauty #tradwife #traditional #folkandfork #housewife #housewife #simplelife #traditions #
2020-08-21_05-20-14_UTC.txt	and broken families. In my opinion. \\ #womenssuffrage #gooutside #eatrealfood #femininity #	feminism #	women #beauty #tradwife #traditional #folkandfork #housewife #housewife #simplelife #traditions #
